庭	19863
奪	19849
巡	19833
殿	19775
厳	19755
虫	19709
暗	19707
惑	19689
架	19647
暦	19597
胞	19567
焼	19545
没	19515
油	19491
脚	19414
房	19347
概	19049
塩	18986
押	18967
詩	18880
談	18819
魚	18806
救	18801
染	18793
辞	18712
塚	18668
欠	18639
仙	18597
納	18492
弱	18435
討	18423
幸	18381
片	18378
唱	18315
避	18310
俳	18295
孫	18272
七	18213
酒	18199
疑	18180
熊	18170
繰	18146
濃	18112
唯	18106
苦	18036
刻	18031
訴	17988
紹	17946
骨	17889
依	17839
伸	17833
隠	17828
繁	17821
困	17742
露	17734
縮	17734
臨	17624
税	17588
譲	17560
喜	17453
災	17409
奥	17192
怪	17158
暴	17047
簡	17025
縄	16952
願	16768
軌	16759
融	16738
択	16729
快	16727
免	16646
吸	16608
遅	16593
潜	16574
触	16569
茶	16551
排	16488
払	16409
翼	16325
締	16094
季	16090
砂	16048
縁	15992
君	15974
恐	15923
誕	15907
釈	15871
阿	15865
損	15860
潟	15837
亜	15786
票	15777
還	15704
撤	15699
燃	15688
麻	15681
誤	15643
崩	15621
到	15553
仁	15536
隆	15524
霊	15507
舗	15506
皮	15495
益	15474
顔	15473
雲	15472
稲	15435
牧	15329
申	15326
底	15245
秘	15155
礼	15149
誘	15125
緑	15109
飾	15096
冬	15030
齢	15017
豪	14971
即	14960
遣	14959
旗	14873
綱	14845
龍	14841
駐	14788
恵	14770
招	14727
倍	14702
摩	14684
絡	14658
壁	14647
儀	14635
封	14575
厚	14548
恋	14525
貫	14446
我	14430
征	14314
窓	14278
哲	14259
炭	14234
菌	14155
億	14146
狭	14138
彦	14093
尊	14090
答	14082
荒	14075
竜	14039
殊	13998
双	13968
弘	13958
笑	13913
丘	13890
杉	13884
寛	13794
冠	13778
柄	13699
妹	13697
致	13677
荷	13648
購	13604
筋	13587
浅	13581
責	13547
須	13538
軸	13486
却	13482
干	13479
覇	13388
奇	13376
踏	13300
摘	13278
訓	13271
震	13224
飲	13223
矢	13219
童	13217
沼	13208
充	13184
抱	13144
才	13144
衝	13130
雪	13085
吹	13057
剣	13052
貢	12961
威	12914
剤	12835
埼	12820
秒	12765
脈	12724
雨	12716
伯	12699
束	12696
伏	12690
包	12689
郵	12644
轄	12590
鎮	12576
享	12564
鶴	12552
陰	12495
針	12494
姫	12487
雷	12395
署	12373
又	12357
湯	12340
墓	12309
抑	12263
夢	12262
脳	12250
歯	12231
己	12197
姉	12094
械	12060
殖	12026
索	12010
迫	11969
鎖	11967
堀	11966
幌	11952
網	11947
縦	11919
削	11869
奉	11818
毒	11815
俗	11798
衣	11781
茂	11770
那	11753
希	11745
沈	11724
鉱	11695
慮	11687
寿	11665
弦	11665
陥	11640
桜	11635
託	11621
阜	11600
埋	11597
鎌	11586
塔	11555
杯	11546
磁	11524
芝	11505
謀	11493
姓	11482
遂	11478
犬	11459
微	11449
刺	11442
析	11424
乳	11376
挑	11369
浮	11368
尚	11312
序	11298
柳	11271
溶	11260
賛	11215
敬	11184
患	11175
鏡	11153
腕	11144
艇	11141
午	11121
鈴	11104
抵	11079
珍	11032
卵	10986
床	10915
智	10894
誉	10884
貞	10863
獣	10855
頂	10841
掘	10840
棄	10815
裂	10814
夕	10759
飯	10671
募	10655
羅	10636
眼	10631
隻	10619
緒	10608
腹	10587
輝	10584
塗	10531
唐	10431
如	10421
渉	10410
誇	10403
葬	10380
郊	10361
薄	10330
牛	10305
慣	10281
嫌	10263
炎	10244
趣	10204
耐	10148
渋	10148
顕	10145
拒	10105
漁	10078
翻	10043
鬼	10033
岳	10005
婦	9931
緯	9927
盗	9919
稿	9890
廷	9879
浴	9879
硬	9818
丹	9798
亀	9797
梅	9751
裕	9746
仰	9712
暮	9694
該	9679
刀	9633
隔	9601
駒	9599
握	9579
鳴	9542
僚	9536
滞	9531
径	9511
灯	9429
洗	9418
俊	9392
菱	9381
禄	9318
晴	9318
礎	9312
債	9306
摂	9262
勇	9262
借	9251
揚	9216
戒	9192
爵	9147
徐	9134
箱	9130
往	9121
棋	9108
彩	9102
詰	9076
但	9066
穴	9028
蒸	9007
枝	8970
幾	8952
冒	8938
奴	8892
狙	8889
妙	8879
僧	8877
玄	8867
迷	8840
逮	8818
随	8791
氷	8761
